Iteration,AUC,Execution Time (s),Size
1,nan,1.2489290237426758,5
1,nan,1.2795891761779785,6
1,nan,1.335340976715088,7
1,nan,1.5484280586242676,8
1,nan,1.479438066482544,9
1,nan,1.4220471382141113,10
